Author,Paragraph
"Balzac, Honoré de","Vautrin
By whom have I to honor to be referred to?"
"Balzac, Honoré de","The Duchess
And who, pray, is this Amoagos, the arbiter, as you say, of Mexico's
destiny?"
"Baum, L. Frank (Lyman Frank)","""Those doors open by a magic word, and only Coo-ee-oh knows the word
that must be uttered,"" said Lady Aurex."
"Balzac, Honoré de","Vautrin
You shall receive money and passports."
"Alcott, Louisa May","""A keg of our best winter butter is going by stage express to-morrow
anyway; and when our apples come, we shan't need a railroad to get 'em
to you, my darling dear,"" answered Becky, holding the delicate girl in
her arms with a look and gesture half sisterly, half motherly, wholly
fond and grateful."
"Balzac, Honoré de","The Duchesse de Christoval
You may not be aware, madame, that for the last three months this
young man has danced attendance on my daughter wherever she went, and
that his admission into society was brought about a little
incautiously."
"Balzac, Honoré de","Mademoiselle de Vaudrey
Leave the house at this hour! Louise, you are mad!"
"Balzac, Honoré de","
SCENE SIXTH
Joseph, a footman; and afterwards Saint-Charles."
"Alcott, Louisa May","""Ain't she? and the sad part of it is, she can't do and enjoy all she
wants to, because her health is so poor. She was a country girl, you
know, and went to work in the city as waiter in a boarding-house. A rich
man fell in love with her and married her, and she took care of him for
years, and he left her all his money. She was quite broken down, but she
wanted to make his name loved and honored after his death, as he hadn't
done any good while he lived; so she gives away heaps, and is never
tired of helping poor folks and doing all sorts of grand things to make
the world better. I call that splendid!"""
"Baum, L. Frank (Lyman Frank)","""Of course,"" was the answer. ""Everybody here is a dictator of something
or other. They're all office holders. That's what keeps them contented.
But I'm the Supreme Dictator of all, and I'm elected once a year. This
is a democracy, you know, where the people are allowed to vote for
their rulers. A good many others would like to be Supreme Dictator, but
as I made a law that I am always to count the votes myself, I am always
elected."""
"Barrie, J. M. (James Matthew)","""Poor dear!"" she says, ""your appetite has completely gone,"" and then she
rushes to the kitchen to cook the sole with her own hands. In
half-an-hour she steals into your room with it, and then you (who have
been wondering why she is such a time) start up protesting,"
"Baum, L. Frank (Lyman Frank)","""I am sure Coo-ee-oh is punished,"" said Glinda, ""for she has lost all
her magic power and her grand palace and can no longer misrule the poor
Skeezers."""
"Balzac, Honoré de","
"
"Balzac, Honoré de","Mademoiselle de Vaudrey
What is the matter, Louise? This is the first time in the twelve years
of our mutual mourning, that I have seen you cheerful. Knowing you as
I do, it makes me alarmed."
"Baum, L. Frank (Lyman Frank)","""We thank you, Ervic."""
"Baum, L. Frank (Lyman Frank)","""Oh, do you think so?"" she replied. ""Well, touch them yourself, if you
like, and see if you can change their forms."""
"Balzac, Honoré de","Joseph
Never before the servants."
"Balzac, Honoré de","Vautrin
And you refuse to pledge me in a glass? He who thinks calculates, and
he who calculates betrays."
"Austen, Jane","“I am glad you think so replied she, for he is distractedly in love
with you.”"
"Barrie, J. M. (James Matthew)","""Well, then,"" said Secundus, ""even though she did send you another book,
it would perhaps be a better one than that. Tell her to send 'The Boy
Crusoes.' I haven't read it."""
"Balzac, Honoré de","Yet in the midst of the disaster which the energy of government has
caused, but which the slightest sagacity in the world might have
prevented, the author has found some compensation in the testimony of
public sympathy which has been given him. M. Victor Hugo, among
others, has shown himself as steadfast in friendship as he is
pre-eminent in poetry; and the present writer has the greater
happiness in publishing the good will of M. Hugo, inasmuch as the
enemies of that distinguished man have no hesitation in blackening his
character."
"Barrie, J. M. (James Matthew)","But though all the clachan shook its head at the sailor, and repeated
Janet's aphorism about sailors as a class, Lizzie refused to believe
her lover untrue."
"Balzac, Honoré de","(Vautrin enters dressed like a Mexican general, his height increased
four inches. His hat has white plumes; his coat blue, with the rich
lace of a Mexican general officer; his trousers white, his scarf
crimson, his hair long and frizzed like that of Murat; he wears a long
sabre, and his complexion is copper-hued. He stutters like the
Spaniards of Mexico, and his accent resembles Provencal, plus the
guttural intonation of the Moors.)"
"Alcott, Louisa May","""Then you can't wonder that they loved it and we want to keep it. I
guess it would break Mother's heart to sell this place, and we are all
working as hard as ever we can to pay off the mortgage. Then we'll be
just the happiest family in New Hampshire,"" said Becky, fondly surveying
the old farm-house, the rocky hill, and the precious fields won from the
forest."
"Austen, Jane",Laura
"Alcott, Louisa May","""If I am like the fern, you are like your own laurel,--strong, rosy, and
able to grow anywhere. I want to carry a few roots home, and see if they
won't grow in my garden. Then you will have me, and I you. I only hope
_your_ plant will do as well as mine does here."""
"Austen, Jane",
"Barrie, J. M. (James Matthew)","What did you think of my doctor? You need not answer, for I know that
you disliked him. You and I were foes, and I was getting the worst of it
when he walked in and separated the combatants. His entrance was
pleasant to me. He showed a contempt for you that perhaps he did not
feel, and he used to take your chair. There were days when I wondered at
his audacity in doing that, but I liked it, too, and by and by I may
tell him why I often asked him to sit there. He was your doctor as well
as mine, and every time he said that I was a little better, I knew he
meant that you were a little weaker. You knew it, too, for I saw you
scowling after he had gone. My doctor is also my friend, and so, when I
am well, I say things against him behind his back. Then I see his
weaknesses and smile comfortably at them with his other friends--whom I
also discuss with him. But while you had me down he was another man. He
became, as it were, a foot taller, and I felt that he alone of men had
anything to say that was worth listening to. Other friends came to look
curiously at me and talk of politics, or Stanley, or on other frivolous
topics, but he spoke of my case, which was the great affair. I was not,
in my own mind, a patient for whom he was merely doing his best; I was
entirely in his hands. I was a business, and it rested with him whether
I was to be wound up or carried on as usual. I daresay I tried to be
pleasant to him--which is not my way--took his prescriptions as if I
rather enjoyed them, and held his thermometer in my mouth as though it
were a new kind of pipe. This was diplomacy. I have no real pleasure in
being fed with a spoon, nor do I intend in the future to smoke
thermometers. But I knew that I must pander to my doctor's weakness if
he was to take my side against you. Now that I am able to snap my
fingers at you I am looking forward to sneering once more at him. Just
at this moment, however, I would prefer to lay a sword flat upon his
shoulders, and say gratefully, ""Arise, Sir James."" He has altered the
faces of the various visitors who whispered to each other in my
presence, and nodded at me and said aloud that I would soon be right
again, and then said something else on the other side of the door. He
has opened my windows and set the sparrows a-chirping again, and he has
turned on the sunshine. Lastly, he has enabled me to call your cab. I am
done. Get out."
"Baum, L. Frank (Lyman Frank)","""There's still plenty of water for the fish to swim in,"" observed the
Wizard as they rode along. ""They might like more but I'm sure they can
get along until we have raised the island and can fill up the lake
again."""
"Baum, L. Frank (Lyman Frank)","
Glinda the Good, having decided to try her sorcery upon the abandoned
submarine, so that it would obey her commands, asked all of her party,
including the Skeezers, to withdraw from the shore of the lake to the
line of palm trees. She kept with her only the little Wizard of Oz, who
was her pupil and knew how to assist her in her magic rites. When they
two were alone beside the stranded boat, Glinda said to the Wizard:"
"Baum, L. Frank (Lyman Frank)","""Hasn't Ozma the power to raise the island to the surface?"" inquired
Glinda."
"Balzac, Honoré de","Vautrin
Is innocent."
"Barrie, J. M. (James Matthew)","The boy who felt the disappointment most was, however, Urquhart himself.
He has never been a shining light in his classes, but that day he
stumbled over the Latin grammar at every step. From nine to ten he was
quiet and sullen, like one felled by the blow. It is, I believe,
notorious that in a fair fight Cocky Jones could not stand up before
Urquhart for a moment; yet, when Cocky kicked, Urquhart did not pursue
him. Between ten and eleven, Urquhart had a cynical countenance, which
implied that his faith in humanity was gone. By twelve he looked fierce,
as if he meant to write his benefactress, and give her a piece of his
mind. I saw him during the dinner-hour in hot controversy with Green and
Tosh, who were evidently saying that he had deceived them. From this
time he was pugnacious, like one determined to have it out with
somebody, and as he can use his fists, this mood made his companions
more respectful. Fleming Secundus is his particular chum, and after the
first bitterness of disappointment, Secundus returned to his allegiance.
He offered to mark Cocky Jones' face, I fancy, for I saw him in full
pursuit of Cocky in the playground. Having made it up, he and Urquhart
then discussed the matter calmly in a corner. They had several schemes
before them. One was to send the book back, saying that Urquhart had
already a copy of it."
"Balzac, Honoré de","The Duchesse de Christoval (to her daughter, making signs to her to
leave the room)
I will rejoin you in a moment."
"Balzac, Honoré de","Vautrin
If necessary, I shall even have to beat you."
"Baum, L. Frank (Lyman Frank)","""If we succeed in raising the island we could fill up the lake again,""
suggested the brown-haired Adept."
"Balzac, Honoré de","Raoul
Would that my mother were alive!"
"Balzac, Honoré de","The Duchess
I?"
"Balzac, Honoré de","Vautrin (aside)
How she loves him! Poor girl, she does not deserve to be imposed upon."
"Baum, L. Frank (Lyman Frank)","""I believe it is worth a trial,"" agreed Glinda. ""It would be quite
natural for Coo-ee-oh to divide her name into three magic syllables,
and Dorothy's suggestion seems like an inspiration."""
"Barrie, J. M. (James Matthew)","""I have no idea,"" replied Tom."
"Barrie, J. M. (James Matthew)","There is, perhaps, no such enemy to health as want of occupation. We
would entreat all young men, therefore, whether of private means or not,
to attach themselves to some healthy calling."
"Austen, Jane","
Chloe
Where am I? At Hounslow.—Where go I? To London—. What to do? To be
married—. Unto whom? Unto Strephon. Who is he? A Youth. Then I will
sing a song."
"Balzac, Honoré de","
SCENE SECOND.
Vautrin and Lafouraille.
(Vautrin is dressed in long white duck trousers and a waistcoat of the
same material, slippers of red morocco,--the morning dress of a
business man.)"
"Balzac, Honoré de","
SCENE EIGHTH.
Saint-Charles, the Duchesse de Montsorel and Mademoiselle de Vaudrey."
"Austen, Jane","Adeiu.
Laura."
"Baum, L. Frank (Lyman Frank)","""Yes. The people are calling to one another in alarm and many footsteps
are approaching the place where we will reach the flat top of the
mountain."""
"Austen, Jane","
Bristol February 27th"
"Balzac, Honoré de","The Duchess
And you brought him up?"
"Austen, Jane","I took up my Residence in a Romantic Village in the Highlands of
Scotland where I have ever since continued, and where I can
uninterrupted by unmeaning Visits, indulge in a melancholy solitude, my
unceasing Lamentations for the Death of my Father, my Mother, my
Husband and my Freind."
"Baum, L. Frank (Lyman Frank)","Ozma now knew they were safe, so she told Dorothy to stop and both of
them sat down on the grass until they could breathe freely and become
rested from their mad flight."
"Balzac, Honoré de","Lafouraille
Souri, joro."
"Baum, L. Frank (Lyman Frank)","
Of course all those who had joined Glinda's expedition at once crossed
the bridge to the island, where they were warmly welcomed by the
Skeezers. Before all the concourse of people Princess Ozma made a
speech from a porch of the palace and demanded that they recognize her
as their lawful Ruler and promise to obey the laws of the Land of Oz.
In return she agreed to protect them from all future harm and declared
they would no longer be subjected to cruelty and abuse."
"Baum, L. Frank (Lyman Frank)","
Chapter Sixteen"
"Baum, L. Frank (Lyman Frank)","Then up the path trotted a wooden animal attached to a red wagon, and
as the quaint steed halted at the gate there descended from the wagon
two young girls, Ozma, Ruler of Oz, and her companion, Princess
Dorothy. Both were dressed in simple white muslin gowns, and as they
ran up the marble steps of the palace they laughed and chatted as gaily
as if they were not the most important persons in the world's loveliest
fairyland."
"Balzac, Honoré de",                               ACT IV.
"Balzac, Honoré de","Lafouraille
Jo."
"Balzac, Honoré de","The Duke (pointing to Vautrin)
Seize him! (Pointing to Saint-Charles) And obey no one but this
gentleman."
"Balzac, Honoré de","The Duchess
Go, dear aunt; have no fear for me."
"Alcott, Louisa May","""Don't believe Mother would let me. She is very proud of our red heads.
If I ever do cut it, you shall have some. I may be hard up and glad to
sell it perhaps. My sakes! I smell the cake burning!"" and off flew Becky
to forget the chat in her work."
"Barrie, J. M. (James Matthew)","ON RUNNING AFTER A HAT,                 179"
"Barrie, J. M. (James Matthew)","
Urquhart is a boy who lives in fear that his friends and relations will
send him the wrong birthday presents. Before his birthday came round
this year, he dropped them pretty broad hints as to the kind of gift he
would prefer, supposing they meant to remember the occasion. He worked
his people differently, according to the relationship that existed
between him and them. Thus to his mother he simply wrote, ""A fishing-rod
is what I want;"" but to an uncle, from whom there was only the
possibility of the present, he said, ""By the way, next Monday week is my
birthday, and my mother is going to send me a fishing-rod. Wouldn't it
be jolly rot if any other body sent me a fishing-rod?--Your affectionate
and studious nephew, Thomas Urquhart."" To an elderly lady, with whom he
had once spent part of his summer holiday, he wrote, ""By-the-bye"" (he
always came to the point with by-the-bye), ""next Monday week is my
birthday. I am wondering if anybody will send me a cake like the ones
you bake so beautifully."""
"Austen, Jane","My adventures are now drawing to a close my dearest Marianne; at least
for the present."
"Baum, L. Frank (Lyman Frank)","The Su-dic and his people knew nothing of Coo-ee-oh's submarines, so
they watched with surprise as the under-water boat approached them.
When it was quite near the shore it rose to the surface and the top
parted and fell back, disclosing a boat full of armed Skeezers. At the
head was the Queen, standing up in the bow and holding in one hand a
coil of magic rope that gleamed like silver."
"Austen, Jane","
When we arrived at the town where we were to Breakfast, I was
determined to speak with Philander and Gustavus, and to that purpose as
soon as I left the Carriage, I went to the Basket and tenderly enquired
after their Health, expressing my fears of the uneasiness of their
situation. At first they seemed rather confused at my appearance
dreading no doubt that I might call them to account for the money which
our Grandfather had left me and which they had unjustly deprived me of,
but finding that I mentioned nothing of the Matter, they desired me to
step into the Basket as we might there converse with greater ease.
Accordingly I entered and whilst the rest of the party were devouring
green tea and buttered toast, we feasted ourselves in a more refined
and sentimental Manner by a confidential Conversation. I informed them
of every thing which had befallen me during the course of my life, and
at my request they related to me every incident of theirs."
"Baum, L. Frank (Lyman Frank)","""I don't see how you can have any brains at all,"" she remarked,
""because the part of your head is gone where brains are kept."""
"Balzac, Honoré de","Raoul
Oh! I know what my future will be."
"Austen, Jane","“Well my dear William what do you think of these girls? for my part, I
do not find them so plain as I expected: but perhaps you may think me
partial to the Daughters of my Husband and perhaps you are right—They
are indeed so very like Sir George that it is natural to think”—"
"Balzac, Honoré de","Vautrin
Your family has been found."
"Baum, L. Frank (Lyman Frank)",
"Barrie, J. M. (James Matthew)","She has hastily laid aside her hoop, and crosses the grass with the
dignity that becomes a woman of letters. Her hair falls over her
forehead in an attractive way, and she is just the proper height for an
authoress. The face, so open that one can watch the process of thinking
out a new novel in it, from start to finish, is at times a little
careworn, as if it found the world weighty, but at present there is a
gracious smile on it, and she greets me heartily with one hand, while
the other strays to her neck, to make sure that her lace collar is lying
nicely. It would be idle to pretend that she is much more than eight
years old, ""but then Maurice is only six."""
"Baum, L. Frank (Lyman Frank)",The Alarm Bell
"Barrie, J. M. (James Matthew)","His friend, however, broke in again--"
"Barrie, J. M. (James Matthew)","
The one bumpy street of Springfield, despite its sparse crop of grass,
presents to this day a depressed appearance, a relic of the time when it
doubled up under a weight of thundering chariots. At the
well-remembered, notorious Queen's Head I stood in the gathering
gloaming, watching the road run yellow, until the last draggled hen had
spluttered through the pools to roost, and the mean row of whitewashed,
shrunken houses across the way had sunk into the sloppy ground, as they
have been doing slowly for half a century, or were carried away in a
rush of rain. Soaking weeds hung in lifeless bunches over the hedges of
spears that line the roads from Gretna; on sodden Canobie Lea, where
Lochinvar's steed would to-day have had to wade through yielding slush,
dirty piles of congealed snow were still reluctant to be gone; and
gnarled tree trunks, equally with palings that would have come out of
the ground with a sloppy gluck, showed a dank and cheerless green.
Yesterday the rooks dinned the air, and the parish of Gretna witnessed
such a marrying and giving in marriage as might have flung it back fifty
years. Elsewhere such a solemn cawing round the pulpit on the tree tops
would denote a court of justice, but in the vicinity of Springfield, it
may be presumed, the thoughts of the very rooks run on matrimony."
"Barrie, J. M. (James Matthew)","FOUR-IN-HAND NOVELISTS,                 161"
"Barrie, J. M. (James Matthew)","
Up here among the heather (or nearly so) we are, in the opinion of
tourists, a mere hamlet, though to ourselves we are at least a village.
Englishmen call us a ""clachan""--though, truth to tell, we are not sure
what that is. Just as Gulliver could not see the Liliputians without
stooping, these tourists may be looking for the clachan when they are in
the middle of it, and knocking at one of its doors to ask how far they
have yet to go till they reach it. To be honest, we are only five houses
in a row (including the smiddy), with a Free Church Manse and a few
farms here and there on the hillsides."
"Barrie, J. M. (James Matthew)","GRETNA GREEN REVISITED,                  87"
"Austen, Jane","“And is this all? said I, I hope you have not done.”"
"Baum, L. Frank (Lyman Frank)","""That sounds easy,"" returned Ervic, who had listened carefully. ""But
are you sure she will not hurt me, or try to transform me?"""
"Balzac, Honoré de","The Duchesse de Montsorel
Do what I order; I will answer for the rest."
"Baum, L. Frank (Lyman Frank)","""Let us run, dear! We are invisible, so no one will see us."""
"Balzac, Honoré de","The Duchesse de Christoval (to Raoul)
Will you immediately announce who you are, if not for your own sake,
at least out of consideration for your friends?"
"Barrie, J. M. (James Matthew)","Avoid high roads in the country. They are, for the most part,
unsheltered, and on hot days the sun beats upon them unmercifully. The
perspiration that ensues is the beginning of many a troublesome illness."
"Baum, L. Frank (Lyman Frank)","""If you had an army to take with you,"" added Dorothy, ""it wouldn't be
so bad; but there isn't such a thing as an army in all Oz."""
"Balzac, Honoré de","The Duchess
He must have suffered much."
"Balzac, Honoré de","Vautrin
You are as yet but a poor diplomatist. You will be a great one, when
you can deceive me. Raoul, you have made the mistake which I have
taken most pains to save you from. My son, why did you not take women
for what they are, creatures of inconsequence, made to enslave without
being their slave, like a sentimental shepherd? But instead, my
Lovelace has been conquered by a Clarissa. Ah, young people will
strike against these idols a great many times, before they discover
them to be hollow!"
"Balzac, Honoré de","(All persons present fling themselves between the armed force and
Jacques, in order to give him opportunity for escaping.)"
"Austen, Jane","
P. S. I have this instant received an answer from my freind Susan,
which I enclose to you, and on which you will make your own
reflections."
"Baum, L. Frank (Lyman Frank)","""If they refuse, what then?"" she asked. ""I should be obliged to carry
out my threat and punish them, and that would be an unpleasant and
difficult thing to do. I am sure it would be better for me to go
peacefully, without an army and armed only with my authority as Ruler,
and plead with them to obey me. Then, if they prove obstinate I could
resort to other means to win their obedience."""
"Baum, L. Frank (Lyman Frank)","""You will find upon the sand,"" said the silverfish, ""a copper kettle,
which the Su-dic forgot when he went away. Cleanse it thoroughly in the
water of the lake, for it has had poison in it. When it is cleaned,
fill it with fresh water and hold it over the side of the boat, so that
we three may swim into the kettle. We will then instruct you further."""
"Balzac, Honoré de","Saint-Charles (giving him a letter, aside)
Does he know my antecedents, or will he simply recognize me as
Saint-Charles?"
"Balzac, Honoré de","Saint-Charles
From either party?"
"Barrie, J. M. (James Matthew)","""Perhaps,"" Peter said at last, ""you know my reasons for requesting an
interview with you here?"""
"Balzac, Honoré de","Felicite
Yes, your grace."
"Balzac, Honoré de","Raoul
In these times, everyone seems to be a foreigner."
"Barrie, J. M. (James Matthew)","If I recollect aright--for I have published so much that my works are
now rather mixed up in my mind, and I have no time to verify
anything--the first place I thought to leave my reputation in was a
volume of pot-boilers, which I wrote many years ago for an obscure
publication. At that time I was working hard for a reputation elsewhere,
and these short stories were only scribbled off for a livelihood. My
publisher heard of them recently, and offered me a hundred pounds for
liberty to republish them in book form. I pointed out to him that they
were very poor stuff, but he said that that had nothing to do with it; I
had a reputation now, and they would sell. With certain misgivings--for
I was not hardened yet--I accepted my publisher's terms, and the book
was soon out. The first book I published, which was much the best thing
I ever wrote, was only reviewed by three journals, of which two were
provincial weeklies. They said it showed signs of haste, though every
sentence in it was a labor. I sent copies of it to six or seven
distinguished literary men--some of whom are four-in-hand now--and two
of them acknowledged receipt of it, though neither said he had read it.
My pot-boilers, however, had not been out many weeks before the first
edition was exhausted. The book was reviewed everywhere, and, in nine
cases out of ten, enthusiastically lauded. It showed a distinct advance
on all my previous efforts. They were model stories of their kind. They
showed a mature hand. The wit was sparkling. There were pages in the
book that no one could read without emotion. In the old days I was paid
for these stories at the rate of five shillings the thousand words; but
they would make a reputation in themselves now. It has been thus all
along. I drop my reputation into every book I write now, but there is no
getting rid of it. The critics and the public return it to me,
remarking that it grows bigger."
"Baum, L. Frank (Lyman Frank)","
Chapter Thirteen"
"Baum, L. Frank (Lyman Frank)","Dorothy looked to see what Ozma would do. To her surprise and a little
to her disappointment Ozma turned and followed Lady Aurex. So Dorothy
trailed after them, but not without giving a parting, haughty look
toward Queen Coo-ee-oh, who had her face turned the other way and did
not see the disapproving look."
"Baum, L. Frank (Lyman Frank)","""Well, I am King of all Spiders,"" was the reply, ""and that makes me
your master. Come with me to my palace and I will instruct you in your
work."""
"Austen, Jane",
"Balzac, Honoré de","Saint-Charles
But your grace will listen to my advice--"
"Balzac, Honoré de","Vautrin (to Raoul)
What right? (To the Duchesse de Montsorel) You need not avow it, for we
divine it. I can well understand, madame, the pain you feel at the
prospect of this marriage, and am not therefore offended at your
suspicions with regard to me, and the authentic documents which I have
brought to the Duchesse de Christoval. (Aside) Now for the final
stroke. (He takes her aside) Before becoming a Mexican I was a
Spaniard, and I know the cause of your hatred for Albert. And as to
the motive which brings you here, we will talk about that very soon at
the house of your confessor."
"Alcott, Louisa May","""I don't! I shall send to Paris to match it, and then wear a braid round
my head as you do sometimes. I suppose it will cost a fortune, but I
_won't_ have a strong-minded crop. A friend of mine got a lovely golden
switch for fifty dollars."""
"Baum, L. Frank (Lyman Frank)","Rather lazily the crab rose to the surface and caught hold of a bit of
rock. With his head above the water he said in a cross voice:"
"Austen, Jane","Streph:
Alas, my freind, I have but a bad guinea with which I mean to support
myself in Town. But I will pawn to you an undirected Letter that I
received from Chloe."
"Balzac, Honoré de","The Duke
Chevalier!"
"Baum, L. Frank (Lyman Frank)","""I am sorry to hear this. Will you please tell me more about your
troubles with the Skeezers?  Then perhaps I can help you."""
"Balzac, Honoré de","Mademoiselle de Vaudrey
Here he is! (To Vautrin) Begone! At once!"
"Baum, L. Frank (Lyman Frank)",   *     *     *     *     *
"Balzac, Honoré de","Mademoiselle de Vaudrey
Suppose you were overheard!"
"Baum, L. Frank (Lyman Frank)","""I happen to know,"" said she, ""that the Flatheads intend to attack us
tomorrow, but we are ready for them. Until the battle is over, I shall
keep you two strangers prisoners on my island, from which there is no
chance for you to escape."""
"Baum, L. Frank (Lyman Frank)","""But how do you suppose Coo-ee-oh managed to sink the island, and make
it rise again?"" inquired Glinda."
"Balzac, Honoré de","The Duke
Inquire for yourself."
"Balzac, Honoré de","Inez
And my father?"
"Balzac, Honoré de","The Marquis
I am glad to hear you say that, mother; if I have seemed lacking in my
duty to you, it is not that I forget, but that I feared to annoy you."
"Austen, Jane","
LETTER the FIRST
From ISABEL to LAURA"
"Baum, L. Frank (Lyman Frank)","Tik-Tok was there, a copper man with machinery inside him, so cleverly
constructed that he moved, spoke and thought by three separate
clock-works. Tik-Tok was very reliable because he always did exactly
what he was wound up to do, but his machinery was liable to run down at
times and then he was quite helpless until wound up again."
